id,name,user_category_id,created_at,updated_at,category_type_id
"'90bb4a8c-188d-493c-b40c-fe044be87d8a'","'Industry'","'e0de7314-62df-4fc5-a6d6-d6ea9c58cc93'","'2021-01-07T16:06:18.655'","'2021-01-07T16:06:18.655'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'717a8a61-d7be-4bcb-be53-24e53286e1b8'","'Institution'","'e0de7314-62df-4fc5-a6d6-d6ea9c58cc93'","'2021-01-07T16:06:49.68'","'2021-01-07T16:06:49.68'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'9e92508a-ac57-4eba-b79d-438cb63db401'","'Agriculture'","'e0de7314-62df-4fc5-a6d6-d6ea9c58cc93'","'2021-01-07T16:06:58.376'","'2021-01-07T16:06:58.376'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'e3582ece-688d-4fc1-a642-fe1e9c9cf566'","'Domestic/Residential'","'e0de7314-62df-4fc5-a6d6-d6ea9c58cc93'","'2021-01-07T16:07:21.259'","'2021-01-07T16:07:21.259'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'1cd50d8a-11e3-4d44-8246-22bb34b9ad72'","'Municipal water supply'","'af4d9dfc-9c37-4bc8-b903-d7eae0f2c6bd'","'2021-01-07T18:35:08.576'","'2021-01-07T18:35:08.576'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'362c466d-604c-4fef-8e03-ad30eb1e4d6c'","'Wastewater treatment'","'af4d9dfc-9c37-4bc8-b903-d7eae0f2c6bd'","'2021-01-07T18:35:25.755'","'2021-01-07T18:35:25.755'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'91356125-7df3-4107-a060-16aaca2fad41'","'Mineral water supply'","'af4d9dfc-9c37-4bc8-b903-d7eae0f2c6bd'","'2021-01-07T18:35:43.36'","'2021-01-07T18:35:43.36'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'49a4a6cc-a1dd-4239-9789-2a1b41c244ae'","'Waste to resource facility'","'af4d9dfc-9c37-4bc8-b903-d7eae0f2c6bd'","'2021-01-07T18:36:01.41'","'2021-01-07T18:36:01.41'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'0bc1d09f-732a-4b2e-a602-00ede44baf6c'","'Lecturer / researcher'","'99b18e1a-03c4-4052-a4ce-788e9e82092c'","'2021-01-07T18:37:09.055'","'2021-01-07T18:37:09.055'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
"'9df28056-c73e-4e2c-8fa5-3e4b327418f4'","'Student'","'99b18e1a-03c4-4052-a4ce-788e9e82092c'","'2021-01-07T18:37:28.512'","'2021-01-07T18:37:28.512'","'7271f5b6-b944-40d9-9577-9231db3f23e8'"
